City,Date,Max Temperature,Min Temperature,Weather,Wind
福州,2023-04-01 星期六 ,22℃,14℃,雾~多云,东北风 1级
福州,2023-04-02 星期日 ,25℃,14℃,雾~阴,西风 1级
福州,2023-04-03 星期一 ,24℃,16℃,多云~阴,北风 1级
福州,2023-04-04 星期二 ,24℃,19℃,多云~中雨,南风 2级
福州,2023-04-05 星期三 ,21℃,16℃,小雨,西南风 2级
福州,2023-04-06 星期四 ,17℃,15℃,小雨,南风 1级
福州,2023-04-07 星期五 ,15℃,13℃,多云~阴,东北风 2级
福州,2023-04-08 星期六 ,19℃,11℃,雾~晴,北风 3级
福州,2023-04-09 星期日 ,22℃,13℃,晴,西风 2级
福州,2023-04-10 星期一 ,26℃,15℃,晴~多云,东南风 1级
福州,2023-04-11 星期二 ,31℃,17℃,多云~中雨,东南风 1级
福州,2023-04-12 星期三 ,20℃,16℃,中雨~阴,东风 3级
福州,2023-04-13 星期四 ,23℃,18℃,多云~阴,北风 1级
福州,2023-04-14 星期五 ,29℃,20℃,多云~小雨,西风 2级
福州,2023-04-15 星期六 ,30℃,18℃,多云,东南风 2级
福州,2023-04-16 星期日 ,33℃,20℃,多云~晴,西风 2级
福州,2023-04-17 星期一 ,31℃,19℃,晴~多云,东南风 2级
福州,2023-04-18 星期二 ,27℃,22℃,多云~小雨,东南风 3级
福州,2023-04-19 星期三 ,28℃,20℃,小雨~中雨,西风 2级
福州,2023-04-20 星期四 ,22℃,19℃,雾~阴,东北风 1级
福州,2023-04-21 星期五 ,20℃,17℃,小雨~阴,西风 2级
福州,2023-04-22 星期六 ,23℃,17℃,多云~阴,南风 2级
福州,2023-04-23 星期日 ,24℃,17℃,多云~阴,南风 2级
福州,2023-04-24 星期一 ,23℃,17℃,多云~小雨,东北风 1级
福州,2023-04-25 星期二 ,20℃,16℃,小雨,东北风 2级
福州,2023-04-26 星期三 ,17℃,15℃,多云,东北风 2级
福州,2023-04-27 星期四 ,24℃,16℃,多云,南风 2级
福州,2023-04-28 星期五 ,25℃,19℃,多云~阴,西风 1级
福州,2023-04-29 星期六 ,29℃,16℃,小雨~中雨,北风 1级
福州,2023-04-30 星期日 ,19℃,15℃,小雨~阴,东北风 1级
福州,2023-05-01 星期一 ,27℃,16℃,多云,北风 1级
福州,2023-05-02 星期二 ,26℃,19℃,多云~阴,南风 1级
福州,2023-05-03 星期三 ,30℃,21℃,多云,南风 1级
福州,2023-05-04 星期四 ,32℃,23℃,多云~阴,东南风 2级
福州,2023-05-05 星期五 ,32℃,23℃,小雨~中雨,西风 1级
福州,2023-05-06 星期六 ,31℃,21℃,多云~大雨,东南风 1级
福州,2023-05-07 星期日 ,22℃,18℃,小雨,东南风 2级
福州,2023-05-08 星期一 ,21℃,17℃,小雨,东北风 1级
